Device which have not reported since or before last 5 days
account_name,device_name,imei,sim_number,last_reported_date,last_reported_time,added_on
DC Solar Solutions,Fox_3G_JSPR_US,359486060234844,8988216710012960144,16.05.2017,17:23:04,16.05.2017
Eric,Micron_Prime_1_PODSYS_US,354524044636356,8944500410169112015,14.11.2017,16:21:40,06.01.2017
In Good Hands GPS,Queclink_GV500_PODSYS_US,864251020072991,8944502511169247905,22.05.2017,14:41:58,22.05.2017
George E McClain ,Ulbotech_PODSYS_US,869103026016545,8944501204168952128,09.12.2016,15:23:59,08.12.2016
SUSAN CRAMER,Queclink_GV500_PODSYS_US,864251020073205,8944502511169247913,22.05.2017,14:46:24,22.05.2017
APS,SteppIII_JSPR_US,357023002998475,8988216710503317291,31.12.2018,00:31:14,10.03.2009
APS,SteppIII_JSPR_US,357023003269496,8988216710002039461,27.11.2018,17:35:16,10.03.2009
APS,SteppIII_JSPR_US,357023002861079,8988216710002039453,07.03.2018,01:25:26,10.03.2009
APS,SteppIII_JSPR_US,357023002972918,8988216710002039396,31.12.2018,00:35:09,28.03.2009
APS,Geometris_JSPR_US,021012114472,8901260761206893284F,20.07.2018,15:11:55,16.10.2009
APS,Atrak_AX5_JSPR_US,352964052097186,8988216710009582109,08.08.2018,07:28:21,22.08.2013
APS,Geometris_JSPR_US,021012021909,8901260761207076459F,31.10.2018,18:38:51,02.02.2010
APS,Geometris_JSPR_US,021012016123,8901260761207076483F,27.09.2016,08:25:15,02.02.2010
APS,Atrak_AX5_JSPR_US,352599046930983,8988216710010277384,12.04.2017,09:55:52,31.05.2014
APS,Geometris_JSPR_US,460031604890,8988216710007557251,30.03.2018,07:31:19,20.06.2012
APS,Atrak_AX5_JSPR_US,352964050838565,8988216710010141374,02.11.2017,13:11:27,26.10.2015
UniversalSystems,Micron_Prime_1_PODSYS_US,354524044589159,8944501204168951922,15.02.2017,15:24:20,15.02.2017
Nafco,Atrak_AX5_JSPR_US,352964050873307,8988216710011679968,01.03.2016,14:15:47,01.03.2016
Nafco,Atrak_AX5_JSPR_US,352599046631326,8988216710010142042,16.11.2017,13:22:51,18.04.2014
Nafco,Geometris_RW_US,021012606378,8901260761207078141F,17.03.2015,09:02:10,17.02.2010
Nafco,SteppIII_JSPR_US,357023003242733,8988216710002039339,30.12.2018,23:35:16,13.04.2012
Nafco,USGlobalsat_TR900_PODSYS_US,012813001845066,8944502511169247624,07.06.2018,14:41:57,30.05.2018
